data
"{'apple': 2, 'pear': 0, 'lemon': 2, 'orange': 3, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-01'}"
"{'apple': 0, 'pear': 1, 'lemon': 2, 'orange': 2, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-02'}"
"{'apple': 2, 'pear': 0, 'lemon': 2, 'orange': 2, 'banana': 2, 'pineapple': 0, 'Fecha': '2018-10-03'}"
"{'apple': 2, 'pear': 0, 'lemon': 3, 'orange': 1, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-04'}"
"{'apple': 3, 'pear': 1, 'lemon': 2, 'orange': 1, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-05'}"
"{'apple': 1, 'pear': 0, 'lemon': 2, 'orange': 1, 'banana': 1, 'pineapple': 1, 'Fecha': '2018-10-06'}"
"{'apple': 1, 'pear': 0, 'lemon': 0, 'orange': 1, 'banana': 2, 'pineapple': 1, 'Fecha': '2018-10-07'}"
"{'apple': 1, 'pear': 0, 'lemon': 1, 'orange': 2, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-08'}"
"{'apple': 2, 'pear': 1, 'lemon': 0, 'orange': 1, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-09'}"
"{'apple': 0, 'pear': 1, 'lemon': 2, 'orange': 2, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-10'}"
"{'apple': 2, 'pear': 1, 'lemon': 3, 'orange': 0, 'banana': 2, 'pineapple': 0, 'Fecha': '2018-10-11'}"
"{'apple': 1, 'pear': 1, 'lemon': 1, 'orange': 1, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-12'}"
"{'apple': 2, 'pear': 1, 'lemon': 3, 'orange': 1, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-13'}"
"{'apple': 1, 'pear': 1, 'lemon': 1, 'orange': 2, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-14'}"
"{'apple': 2, 'pear': 1, 'lemon': 1, 'orange': 2, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-15'}"
"{'apple': 3, 'pear': 1, 'lemon': 2, 'orange': 0, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-16'}"
"{'apple': 0, 'pear': 0, 'lemon': 1, 'orange': 0, 'banana': 2, 'pineapple': 1, 'Fecha': '2018-10-17'}"
"{'apple': 1, 'pear': 1, 'lemon': 0, 'orange': 0, 'banana': 1, 'pineapple': 1, 'Fecha': '2018-10-18'}"
"{'apple': 2, 'pear': 1, 'lemon': 1, 'orange': 1, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-19'}"
"{'apple': 1, 'pear': 0, 'lemon': 3, 'orange': 0, 'banana': 1, 'pineapple': 1, 'Fecha': '2018-10-20'}"
"{'apple': 0, 'pear': 0, 'lemon': 1, 'orange': 0, 'banana': 1, 'pineapple': 1, 'Fecha': '2018-10-21'}"
"{'apple': 1, 'pear': 2, 'lemon': 3, 'orange': 0, 'banana': 1, 'pineapple': 1, 'Fecha': '2018-10-22'}"
"{'apple': 0, 'pear': 1, 'lemon': 3, 'orange': 0, 'banana': 3, 'pineapple': 0, 'Fecha': '2018-10-23'}"
"{'apple': 1, 'pear': 1, 'lemon': 2, 'orange': 3, 'banana': 3, 'pineapple': 0, 'Fecha': '2018-10-24'}"
"{'apple': 0, 'pear': 0, 'lemon': 3, 'orange': 2, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-25'}"
"{'apple': 0, 'pear': 2, 'lemon': 1, 'orange': 1, 'banana': 2, 'pineapple': 0, 'Fecha': '2018-10-26'}"
"{'apple': 2, 'pear': 0, 'lemon': 0, 'orange': 2, 'banana': 2, 'pineapple': 1, 'Fecha': '2018-10-27'}"
"{'apple': 0, 'pear': 2, 'lemon': 1, 'orange': 1, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-28'}"
"{'apple': 0, 'pear': 0, 'lemon': 1, 'orange': 0, 'banana': 1, 'pineapple': 0, 'Fecha': '2018-10-29'}"
"{'apple': 1, 'pear': 0, 'lemon': 0, 'orange': 3, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-30'}"
