data
"{'apple': 3, 'pear': 3, 'lemon': 3, 'orange': 3, 'banana': 3, 'pineapple': 1, 'Fecha': '2018-10-01'}"
"{'apple': 0, 'pear': 3, 'lemon': 0, 'orange': 0, 'banana': 3, 'pineapple': 1, 'Fecha': '2018-10-02'}"
"{'apple': 3, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-03'}"
"{'apple': 0, 'pear': 3, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-04'}"
"{'apple': 0, 'pear': 3, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-05'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-06'}"
"{'apple': 0, 'pear': 3, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-07'}"
"{'apple': 0, 'pear': 3, 'lemon': 3, 'orange': 0, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-08'}"
"{'apple': 0, 'pear': 3, 'lemon': 0, 'orange': 0, 'banana': 3, 'pineapple': 0, 'Fecha': '2018-10-09'}"
"{'apple': 0, 'pear': 0, 'lemon': 3, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-10'}"
"{'apple': 3, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-11'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 3, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-12'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 3, 'pineapple': 0, 'Fecha': '2018-10-13'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-14'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 3, 'pineapple': 0, 'Fecha': '2018-10-15'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-16'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 3, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-17'}"
"{'apple': 3, 'pear': 3, 'lemon': 0, 'orange': 3, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-18'}"
"{'apple': 0, 'pear': 0, 'lemon': 3, 'orange': 3, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-19'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 3, 'pineapple': 0, 'Fecha': '2018-10-20'}"
"{'apple': 0, 'pear': 3, 'lemon': 0, 'orange': 3, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-21'}"
"{'apple': 3, 'pear': 3, 'lemon': 0, 'orange': 3, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-22'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 3, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-23'}"
"{'apple': 3, 'pear': 0, 'lemon': 0, 'orange': 3, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-24'}"
"{'apple': 0, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-25'}"
"{'apple': 3, 'pear': 3, 'lemon': 0, 'orange': 0, 'banana': 3, 'pineapple': 1, 'Fecha': '2018-10-26'}"
"{'apple': 0, 'pear': 3, 'lemon': 3, 'orange': 0, 'banana': 0, 'pineapple': 0, 'Fecha': '2018-10-27'}"
"{'apple': 3, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-28'}"
"{'apple': 3, 'pear': 0, 'lemon': 0, 'orange': 0, 'banana': 0, 'pineapple': 1, 'Fecha': '2018-10-29'}"
"{'apple': 0, 'pear': 3, 'lemon': 3, 'orange': 0, 'banana': 3, 'pineapple': 0, 'Fecha': '2018-10-30'}"
